question,qid,aliases,pred,correct
"""Which 20th century English playwright wrote """"The Winslow Boy"""" and """"Separate Tables""""?""",qw_2206,terrence rattigan|sir terence mervyn rattigan|terence rattigan|sir terence rattigan|rattigan|terence ratigan|terence mervyn rattigan,Terence Rattigan,True
Which female succeeded John Prescott as Deputy Leader of the Labour Party in June 2007?,sfq_9386,harriet harman|political positions of harriet harman|harriet dromey|harriet ruth harman|harriet ruth harman qc mp,Harriet Harman succeeded John Prescott as Deputy Leader of the Labour Party in June 2007.,True
In the 1970s British practitioner John McTimoney founded his eponymous type of (What?) treatment?,bb_5694,chiropractic theory|chiropractic care|chiropractry|mixing chiropractic|safety of chiropractic|chiropractic manipulative treatment|chiropractic skepticism|foundations of chiropractic|chiropracty|scientific inquiries into chiropractic care|chiropractic oath|chiropractors|chiropracter|chiropractics|chiropractic medicine|upper cervical specific chiropractic|criticism of chiropractic care|chiroquackery|philosophy of chiropractic|straight chiropractic|chhh|chiroquack|critical views of chiropractic|manipulation chiropractic|upper cervical|chiropractice|scientific investigation of chiropractic|chiropractic|chiropracticing,McTimoney method of chiropractic treatment,True
What is the most popular hobby,bt_1438,stamp club|philatelics|stamp collector|stamp collection|origins of stamp collecting|stamp collectors|stamp collecting,"It's subjective and varies by region and demographic. Some common popular hobbies include reading, watching movies",False
In what city would you find Yale University?,jp_4251,new haven conn|new haven new haven county connecticut|city of new haven|roodenburg|new haven connecticut|new haven conneticut|new haven usa|new haven|un locode ushvn|new haven ct,"New Haven, Connecticut",True
"What island chain includes the islands of Fuerteventura, Lanzarote, and La Palma?",jp_783,list of islands of canary islands|canary islands spain|geography of canary islands|climate of canary islands|foreign relations of canary islands|rail transport in canary islands|history of canary islands|canary silands|science in canary islands|canarias autonomous community spain|communications in canary islands|canary island|canery islands|canarias spain|canarias islands|canary isles|canarian archipelago|canarias autonomous community|telecommunications in canary islands|name of canary islands|canaria|islas canarias|economy of canary islands|canary islands,Canary Islands,True
What is the waxy secretion of the sperm whale used in perfume manufacturing,bt_2646,gray amber|amber gris|ambrinol|ambre gris|ambergreece|ambrox|ambergris|ambergrease|ambergris tincture|amber grease|ambra grisea|ambarum|ambra grisia|grey amber,Sperm whale spermaceti is used in perfume manufacturing.,False
Fado is a type of music from which country?,qw_685,portugul|portugallu|portugalska|pòtigal|portugaul|portugalujo|portuguese republic|iso 3166 1 pt|republic of portugal|portugalsko|portugual|bồ đào nha|portugall|portûnga|bo dao nha|phortaingeil|portugale|portugal|portugál|portugalėjė|portiwgal|phu to ga|portugalija|portugalio|portogallo|phû tô gâ|portegal|república portuguesa|portugāle|phortaingéil|yn phortiugal|portogało|portuga|portugaleje|portekiz|o papagaio|portunga|potigal|portekîz|pertual|portogalo|portugali|portyngal|republica portuguesa|portingale|portúgal|portgual|potiti,Portugal.,True
"Columbia University, in the city of New York, was founded as King’s College by royal charter of which British monarch?",qb_9140,george ii|george second|george 2nd|george 2|george ii disambiguation|king george ii,King George II,True
Ailurophobia is the abnormal fear of what?,wh_30,c t s|cats|cats disambiguation,"Cats. (This phobia is named after the Greek word for cat, ""ailuro-,"" and the",True
In 1995 who famously walked out of the play 'Cellmates' after three days of its London run?,odql_481,stephen fry|stephenfry|rescuing spectacled bear|steven fry|steve fry,"Alan Rickman quit ""Cellmates"" after three days in 1995.",False
What is the name of the note that is 1/8 the length of a semi-breve?,qw_762,achtel note|demi soupir|croche|eighth note|åttondelsnot|eighth part note|♪|𝄾|corchea|quaver|♫|8th note|eighth notes|attondelsnot,Quaver (or eighth note),True
What was the French sounding winner of the 2011 Epsom Derby?,sfq_12951,pour moi,"The French horse that won the 2011 Epsom Derby was ""Bowser Bayesian.""",False
Which US No 1 single came from Diana Ross's platinum album Diana?,tc_715,upside down diana ross song|up side down|upside down|upside down single,"""I'm Coming Out"" (1980)",False
"In the nursery rhyme ‘Oranges and Lemons’, the bells of which church said ‘You owe me five farthings’?",qb_4501,saint martin s disambiguation|saint martins|st martin s disambiguation|st martins disambiguation|st martins|saint martin s|st martin s,The bells of St. Clement's church.,False
"Who designed the red telephone box, which first appeared in London in 1926?",qb_9129,giles gilbert scott|sir giles gilbert scott|sir giles gilbert scott om friba,Sir Giles Gilbert Scott designed the red telephone box.,True
With what area of expertise do you associate the name of Annie Leibovitz?,dpql_3015,photographing|photographic technique|photographics|early photography|photo picture|yachting photography|photography as art form|technology of photography|photographic|photography techniques|photography business|commercial photographer|print finishing|photo s|still photographers|art photography|pet photography|fotografy|photography|commercial photography|photography history of,Annie Leibovitz is a renowned photographer.,False
Who was the only British Prime Minister to hold office during the reign of King Edward VIII?,qb_3510,stanley baldwin 1st earl baldwin of bewdley kg pc|power without responsibillity|stanley baldwin 1st earl baldwin of bewdley|stanley 1st earl baldwin of bewdley viscount corvedale of corvedale baldwin|stanley 1st earl baldwin of bewdley baldwin|stanley baldwin|baldwin stanley 1st earl baldwin of bewdley,None. Edward VIII reigned for less than a year (1936) and no general election was held during,False
Marilyn Monroe starred in the Seven Year Itch. Who directed it?,qz_2471,bill wilder|billy wilder s|billy wilder,Billy Wilder directed The Seven Year Itch with Marilyn Monroe.,True
Who led the quest for the golden fleece,bt_1861,iason|iasson|jason and golden fleece|jason greek mythology|easun|jason argonaut|jason|jason mythology,Jason led the quest.,True
Which London theatre used to boast 'We Never Close'?,wh_749,windmill|wind mill|wind wheel|wind wheels|windmills|æolian generator|aeolian generator|eolian generator|sectional windmill|windmill tower,The Phoenix Theatre once claimed 'We Never Close'.,False
In which part of the human body would you find the Sphenoid bone?,odql_12299,temporal fenestrae|cranium anatomy|animal skull|post temporal fenestrae|skull anatomy|cranium|skull fenestra|crania|temporal opening|postfrontal|intertemporal|cranial ridge|mandibular fenestra|skull bones|skulle|skull bone|supratemporal|quadratojugal fenestra|symplectic bone|skull fenestrae|temporal fenstra|mandibular fenestrae|fenestra pseudorotunda|nasal fenestra|supratemporal fenestra|animal skulls|palatal fenestra|skulls|post temporal fenestra|skulled|orbital fenestra|cranial bone|skull|palatal fenestrae|orbital fenestrae|cranial ridges|temporal fenestræ|quadratojugal fenestrae|temporal fenestra,"The Sphenoid bone is located in the skull, near the base and the temples.",True
Holy Roman Emperor Charles VI created which principality in 1719?,sfq_12585,liech|liechtenstein air force|military of liechtenstein|culture of liechtenstein|imperial principality of liechtenstein|fürstentum liechtenstein|liechtensteinian|transport in liechtenstein|liechtenstein military|army of liechtenstein|liechenstein|leichtenstein|lichenstein|liecht|liechtenstein army|media in liechtenstein|lichtenstein|liechtenstien|name of liechtenstein|transportation in liechtenstein|liechtenstin|leichenstein|liechtenstein transnational issues|media of liechtenstein|protestantism in liechtenstein|iso 3166 1 li|liechtenstein transportation|principality of liechtenstein|lichstenstein|litchtenstein|sport in liechtenstein|liechetenstein|liechtenstein,The principality of Parma and Piacenza.,False
Political leader Mustafa Kemal is better known by what name?,sfq_11235,atatürk and kurds|gazi mustafa kemal pasha|mustafa kemal ataturk|mustafa kamal ataturk|mustafa kemal paşa|ataturkism|mustafa kemal|ataturk cicegi|m kemal atatürk|m kemal ataturk|gazi mustafa kemal|mustafa kemal bey|mustafa kemal atatrk|day of remembrance of ataturk|kamâl atatürk|mustapha kemal atatürk|atatuerk|atatürk|kamal ataturk|m kemal atatuerk|ataturk|mustafa kemal pasa|mustafa kemal pasha|mustafa kamâl atatürk|ata turk|kemal attaturk|mustafa ataturk|mustafa kemel ataturk|ataturk and kurds|kemal pasha mustafa|mustafa kemal pascha|mustafa kemal atatuerk|attaturk|kemal atatürk|atatuerk and kurds|mustapha kemal atatuerk|kemal ataturk|great atatürk|kemal atatuerk|kamal atatürk|mustapha kemal pasha|mustapha kemal ataturk|mustafa kemal atatürk|mustafa kamal attaturk,Mustafa Kemal is better known as Atatürk.,True
Sandygate Road football and cricket stadium is in which English city?,qb_1494,sheffield great britain|hucklow primary school|sheffield city|sheffield united kingdom|sheffield england|shefield|city of sheffield|county borough of sheffield|sheffield borough|sheffield district|sheffield|metropolitan borough of sheffield|sheffield u k|un locode gbshe|sheffield uk,Sheffield (Yorkshire),True
What was the name of the company that 'Reginald Perrin' worked for in 'The Fall and Rise of Reginald Perrin'?,odql_3253,reginald perrin|sunshine desserts|legacy of reginald perrin|companies featured in fall and rise of reginald perrin|fall rise of reginald perrin|fall and rise of reginald perrin|death of reginald perrin|fall and rise of reggie perrin,Consolidated Biscuits Inc.,False
"Who, in November 2005, became the first ever female Chancellor of Germany?",sfq_2330,chancellor merkel|ulrich merkel|merckel|angela dorothea merkel|angie merkel|angela merkell|dr angela dorothea merkel|angela kasner|angela merkel|angela dorothea kasner|dorothea kasner|angela merkl|merkel|angela teflon merkel,Angela Merkel became the first female Chancellor of Germany in November 2005.,True
Which international treaties of 1899 and 1907 cover the use of weapons in war?,qw_2462,hague convention|hague convention disambiguation|haig convention|hague conventions,The Hague Conventions of 1899 and 1907.,True
Torres Strait Islander Eddie Mabo became famous in Australian history for his role in campaigning for what?,qw_10327,land and law|law and land|land rights|land law|land use rights|right to land|law of land,Recognition of Indigenous land rights.,True
Which public holiday became official in the UK in 1978,bt_2876,may day|1st of may|2002 mayday|forsta maj|foersta maj|första maj|1999 mayday|national day of labour|may day parade,May Day Bank Holiday was made official in the UK in 1978.,True
Who does the commentary in the UK tv programme ‘Come Dine With Me’?,qb_1285,dave lamb,Dave Lamb provides the commentary for Come Dine With Me in the UK.,True
"Which visitor attraction is in Exploration Drive, Leicester?",sfq_22430,leicester space centre|national space centre of england|national space centre,"The National Space Centre is in Exploration Drive, Leicester.",True
"Who had parts in ‘St. Elmo’s Fire’, ‘About Last Night …’ and ‘Wayne’s World’?",dpql_3563,rob lowe|eddie nero|robert hepler lowe,"Rob Lowe, Demi Moore, and Wayne's World: Mike Myers.",True
The majority of the land area of Africa lies in which hemisphere?,qf_1210,northern disambiguation|northern,The majority of Africa lies in the Southern Hemisphere.,False
"In 2014, CNN reported that FBI and other law enforcement agencies send their trainees to what Washington, D.C. museum so they can see for themselves how not protecting civil liberties can lead to bigger horrors?",tb_695,holocaust museum|holocaust museum disambiguation,The Holocaust Museum,True
"Founded in 1775, George Washington was the Commander-in-Chief of what Army?",qg_1049,continental army|american continental army|continental soldiers,Continental Army,True
Who won the 'Oscar' for Best Actress in the 1950's film'Born Yesterday'?,odql_4661,judith tuvim|judy holliday|holliday judy|judy holiday,Judy Holliday won the 'Oscar' for Best Actress for the film 'Born Yesterday' in,True
What was the name of the Cunard ocean liner which was launched on 20th September 1906?,qb_495,mauretania prima|domain of moor|classical morocco|sitifensis|king of mauretania|mauretanian kingdom|list of kings of mauretania|roman moorish kingdoms|roman moor kingdoms|ancient mauretania|classical mauretania|mauretania sitifensis|mauretania secunda|kingdom of mauretania|roman mauretania|mauretania,RMS Lusitania,False
Where is the Arafura Sea?,qw_11650,between australia and new guinea,"The Arafura Sea is located in the Indo-Pacific Ocean, north of Australia.",False
What football team did Arsene Wenger manage immediately before Arsenal?,sfq_9788,toyota motor f c|grampus eight|grampus 8|nagoya grampus eight|nagoya grampus,"Arsene Wenger managed Juventus before Arsenal. (However, this is not entirely accurate as Wenger",False
Which line on the London Underground rail system has the most stations?,qb_9245,district line diagram|district line,The Victoria Line has the most stations on the London Underground rail system.,False
'The Immortal Game' between a Frenchman and a German in 1851 at Simpsons in London's Strand was contested in what discipline?,bb_3143,échecs|chess revers|chess psychology|orthochess|cheess|chess career|cờ vua|international chess|western chess|skaak|šahs|skák|cög|game of chess|scacci|escacs|chess match|шахмат|european chess|šach|šachy|rank and file chess|ficheall|chesss|شطرنج|शतरंज|şah|chess publications|שחמט|ŝako|skak|echedoù|шахматы|chess game|sjakk|satranç|ajedrez|play chess|chess board game|xadrez|шахи|шатар|ਸ਼ਤਰੰਜ|chesse|chess games|šachmatai|σκάκι|chess|ahedres|chess srategy and tactics,Chess,True
Who plays the role of Bubble in Absolutely Fabulous?,qz_4911,jane horrocks,Jennifer Saunders plays Bubble in Absolutely Fabulous.,False
"Queen Joan of Navarre, who was imprisoned for witchcraft, was the stepmother of which English monarch?",qb_7920,henry v film|henri v|henry v|enrico v|henry 5|enrique v|heinrich v|henry 5th|hendrik v|henry fifth|henry v disambiguation,King Henry VII,False
What is the subject of the best-known works of writers Theodor Mommsen and Edward Gibbon?,tb_1517,roman civilisation|roman history|rome s history|population of rome|roman civilization|rome roman empire etc|medieval rome|history of rome,Theodor Mommsen: Roman history (Momentum),True
Which geological perioed falls between the Triassic and the Cretaceous periods?,wh_756,dinosaur types of jurassic|jurassic geology|jurassic period|jurasic|jurassic|jurassic era|jurassic system|jurrasic,Jurassic Period,True
How many cards are needed to play Canasta,bt_2869,108|one hundred and eight,Twelve decks or 108 cards are needed to play Canasta.,True
"In the Commonwealth games in Delhi, which British athlete won the mens 200m gold medal?",qz_4241,leon baptiste,"Justin Gatlin won the mens 200m gold medal at the Commonwealth Games in Delhi for Team England,",False
What was developed at the Bell Telephone Company under the direction of Dr William Shockley?,qw_3403,transistor|transistor outline|transistors|collector electronics|transistorized|discrete transistor|redifine your concepts about transistor|transfer resistor,The transistor was developed at Bell Telephone Laboratories under Dr. William Shockley.,True
"In physics, what is a substance that continually deforms/flows under applied stress, including liquids, gases and plasmas?",bb_4306,fluid|fluids,"Fluid substance (liquids, gases, plasmas) undergoes continuous deformation under applied stress",True
Which force were defeated by the Athenians at the Battle of Marathon in 490BC?,sfq_8523,persian people disambiguation|persians disambiguation|persians,Persian army was defeated.,False
The name of which European capital city means Merchants Harbour?,sfq_13491,kaupmannahöfn|koebenhavn|dkcph|kjøbenhavn|k town copenhagen|k town hardcore|københavn|kobenhavn|copenhagen denmark|un locode dkcph|hafnia latin|ktown hardcore|kopenhagen|köpenhamn|koepenhamn|copenhague|kopenhamn|k town punk|københavn denmark|kaupmannahofn|capital of denmark|copenhagen,The name of the European capital city meaning Merchants Harbour is Bruges (Belgium). Answer: Bru,False
"Proclaiming himself ""the luckiest man on the face of the earth"", what baseball legend announced his retirement from the New York Yankees on July 4, 1939, following an amazing streak of 2130 straight games?",qg_2138,buster gehrig|henry louis lou gehrig|biscuit pants|luckiest man on face of earth|henry louis buster gehrig|lou buster gehrig|22lou 22 gehrig|gehrig|lou gehrig|henry louis 22lou 22 gehrig|lou gehrig appreciation day|louis gehrig|22buster 22 gehrig|lou gerhig|henry louis gehrig|lou 22buster 22 gehrig|lou gherig|ludwig heinrich gehrig|henry louis 22buster 22 gehrig,"Lou Gehrig: ""Luckiest man"" retirement speech, July 4, 1939.",True
What is the county town of the Irish County Mayo?,sfq_17562,castle bar|castle of barry family|caislean bharraigh|cornanool|castlebar|catlebar|caisleán bharraigh|castlebar mayo,The county town of Mayo is Castlebar.,True
What is kept in the sump of a motor car engine?,qw_13977,oil|oils|thermal oil|oily|diathermal oil|atcvet code qa06ag06|oil liquid|petro|fixed oils|heat transfer oil|atc code a06ag06|🝆,Engine oil and filter.,True
Who was the model who first caused a storm modelling the Wonderbra,bt_1384,eva herzigova|george marsiaj herzig|eva herzegova|eva herzigová,The model who first caused a storm modelling the Wonderbra was Jeanette Kwakjee. (Source:,False
"Which spy was sentenced to 42 years in prison in 1961, but escaped from Wormwood Scrubs in 1966?",odql_351,george blake|max de vries,"Guy Burgess: 42-year sentence (1961), escaped from Wormwood Scrubs",False
What name was given to the invisible material once thought to occupy all space?,tc_3086,tertiary ether|secondary ether|primary ether|ether chemistry|alkoxyalkane|ethers|oleum dulci vitrioli|organic ether|ether bond|polyethers|o alkylation|sweet oil of vitriol|ether group|polyether|ether|ethers cyclic|diaryl ether|aryl ether,"The name given to the invisible material once thought to occupy all space is ""Aether.""",False
The name of which chemical element of the Periodic Table ends with the letters KEL ?,wh_2109,nickel|nickelic|nickel mining in bc|nickelous|element 28|nickel metallurgy|kupfernickel|nickel element|ni2,"The chemical element that ends with the letters ""Kel"" in its name is Krypton.",False
Which car manufacturer originally made the model known as the Matiz?,sfq_22542,daewoo group|dae u|대우|dae woo|daewoo|daewoo business group|taeu|daewoo television,Renault manufactured the Matiz car model originally.,False
Art Garfunkel trained for which profession although he didn't qualify?,tc_515,master builder occupation|graziani corazza|architecht|clifford lawrie|architechts|architects|registered architect|hok canada inc|architect|stanford downey architects inc,Art Garfunkel trained for monkhood but did not qualify.,False
Which author created the fictional character Moll Flanders ?,wh_2061,one of people called quakers|danial defoe|daniel defoe|scots gentleman in swedish service|british officer in service of czar|captain tom|daniel defore|daniel foe|captain george carleton|defoe daniel|daniel dafoe|daniel prophet,Daniel Defoe,True
"Which English road in Anglo-Saxon times went from Axminster via Bath, Cirencester, Leicester and Newark to Lincoln?",qw_16513,fosse way|fosseway,The Fosse Way.,True
Coimbra was the former capital of which European country from 1131 -1255?,sfq_25329,portugul|portugallu|portugalska|pòtigal|portugaul|portugalujo|portuguese republic|iso 3166 1 pt|republic of portugal|portugalsko|portugual|bồ đào nha|portugall|portûnga|bo dao nha|phortaingeil|portugale|portugal|portugál|portugalėjė|portiwgal|phu to ga|portugalija|portugalio|portogallo|phû tô gâ|portegal|república portuguesa|portugāle|phortaingéil|yn phortiugal|portogało|portuga|portugaleje|portekiz|o papagaio|portunga|potigal|portekîz|pertual|portogalo|portugali|portyngal|republica portuguesa|portingale|portúgal|portgual|potiti,Portugal,True
"Which word can be a golf term, a Space vehicle or a one time boy's comic?",sfq_15164,eagle|eagles|aquilinae|king of air|hawk eagle|kitpu|eagle spirit|harpy zoology|booted eagles group|eagle symbolism,"Rocket (Golf: A type of club, Space vehicle: Self-explanatory, Comic: Name",False
What is the official summer sport of Canada?,dpql_3955,baggataway|lacrosse player|lacross|lacrosse sport|lacrosse|baggatiway|indians created lacrosse|lacrosse players,Official summer sport of Canada: Lacrosse.,True
What is the name of the coronation anthem composed by Handel using texts from the King James Bible that has been sung at every British coronation service since 1727?,tb_1826,zadoc priest|zadok priest,"""Zadok the Priest Coronation Anthem"" by Handel.",True
What is the name of the structure designed by Anish Kapoor and Cecil Balmond for the 2012 London Olympics?,sfq_21538,london orbit|orbit tower|arcelor mittal orbit|olympic orbit|arcelormittal orbit|olympics orbit|orbit|arcelor orbit|mittal orbit|arselormittal orbit,"""Cloud Gate Pavilion"" or ""The Orbit"" (Anish Kapoor designed the Cloud Gate Pavil",True
Which year saw the assassination of US President James Garfield?,sfq_1864,one thousand eight hundred and eighty one|1881,The year is 1881.,True
Who wrote the epic poem The Faerie Queen c.1590 - 1596?,sfq_18159,edmund spencer|edmunde spenser|edmund spenser|e spenser,Edmund Spenser wrote The Faerie Queen.,True
"""Which writer in a famous book wrote, """"Work fascinates me, I can sit and look at for hours""""?""",odql_4171,jerome k jerome|jerome jerome klapka|jerome klapka jerome|jerome jerome|jerome klapta jerome|j k jerome,"Ernest Hemingway (from ""A Moveable Feast"")",False
How is the Shakespeare character 'Robin Goodfellow' better known?,sfq_5662,puck disambiguation|puck,Robin Goodfellow is better known as Puck.,True
"The Ironman World Championship, which has been held annually in Hawaii since 1978, with an additional race in 1982, involves which sport?",qw_6656,sprint distance triathlon|triathlon training|long distance triathlon|beginner triathlon training|triathlons|triathlon distance|tri athlete|triathlon|triathletes|iron distance triathlon|triathalon|olympic distance triathlon|full distance triathlon|triathlete,Triathlon,True
Who was the inventor of the Barbie Doll,bt_1488,ruth handler,Ruth Handler is the inventor of the Barbie Doll.,True
What waltz by Johann Strauss II was named after a European river?,jp_16,der schoenen blau donau|blue danube|at beautiful blue danube|der schönen blau|der schoenen blauen donau|on beautiful blue danube|der schonen blau|der schönen blauen donau|beautiful blue danube|blue danube waltz|der schonen blauen donau|danube waltz|der schonen blau donau|by beautiful blue danube|der schönen blau donau|der schoenen blau,"""The Blue Danube Waltz""",True
"'The Playboy Riots' occurred during and following the opening in 1907 of 'The Playboy Of The Western World' by J.M. Synge, at which Dublin theatre?",odql_11128,abbey school of actors|abbey theatre|abbey school of ballet|irish national theatre society|abbey theatre dublin|abbey players|abbey theater|irish national theatre|peacock theatre dublin|national theatre of ireland|abbey experimental theatre company|abbey school of acting,Abbey Theatre,True
"In what middle east harbor was the destroyer USS Cole attacked by suicide bombers in 2000, resulting in 56 casualties?",qg_3622,عدن|adem ym|aden ym|aden|aden yemen|adan|aden craiter|aden municipality|little aden,Yemen's Aden Harbor,True
Which coastal West African country borders only Guinea and Liberia?,sfq_15980,sierra leoneon|sierra leome|sierrra leone|sierra leoneans|iso 3166 1 sl|sierra leonne|sierra leone|list of sierra leone districts by population|seirra leone|culture of sierra leone|sierra lione|sierra leonean|s leone|sierra leone history|republic of sierra leone|sierra leone public archives|sierra leonians|sierre leone|sierra leonean language|sierra leon|sierra leonian|serra leoa,Sierra Leone,True
To whom is Gwyneth Paltrow married?,dpql_647,moses bruce martin|christopher anthony john 22chris 22 martin|chris martin|moses bruce anthony martin|moses martin|chris martin musician|christopher anthony john martin,Gwyneth Paltrow is married to Brad Falchuk.,False
On the banks of which river does the Welsh city of Carmarthenstand?,odql_10952,towy|tywi|river towy|afon tywi|river tywi,The city of Carmarthen stands on the River Towy.,True
Who composed the 'War Requiem'?,sfq_19014,benjamin baron britten|baron britten|benjamin britten|benjamin britain|edward benjamin britten|baron britten of aldeburgh|britten|benjamin britten 1st baron britten|benjamen britten|e b britten|ballets by benjamin britten|benjamin britten baron britten|edward benjamin britten baron britten|britten benjamin baron|britten benjamin|lord britten|edward benjamin britten baron britten om ch,Benjamin Britten composed the 'War Requiem'.,True
To which animal does the adjective caprine refer?,sfq_24881,billy goat|she goat|he goat|she goats|kid goat|goat s milk|goat milk|capra aegagrus hircus|nanny goat|dairy goat|billygoat|goatfighting|goat penis|capra hircus|goat|dairy goats|domestic goat|domestic goats|goats|🐐|goatry|goats milk|billies,"Caprine animals are those that belong to the Caprinae family, which includes goats and sheep.",True
Name the new French president of 2012?,bb_2772,françois holland|francois holland|francis holland|françois hollande|hollande|francois hollande|françois gérard georges nicolas hollande,François Hollande,True
'Yellow River' was a May 1970 No.1 for who?,qf_85,christie disambiguation|christie,"""Christie, Anne""",True
By what name are the Essex one-day cricket team known?,odql_8725,eagle|eagles|aquilinae|king of air|hawk eagle|kitpu|eagle spirit|harpy zoology|booted eagles group|eagle symbolism,Essex Cricket Club,False
"""The former Tory Home Secretary Reginald Maudling is quoted as saying, """"For God's sake bring me a large scotch. What a bloody awful country"""". To where was he referring ?""",wh_2073,ireland north|national anthem of northern ireland|northern ireland assembly and executive|ireland northern ireland|tuaisceart eireann|norlin airlan|irland du nord|six counties|norn irn|tuaisceart éireann|governance of northern ireland|northern ireland united kingdom|north ireland|na se contaethe|6 counties|ulster uk|northern ireland s national anthem|norrn iron|northeast of ireland|geography of northern ireland|northern irish politics|northern ireland uk|occupied 6 counties|north of ireland|northern ireland|irlanda del norte|na sé contaethe|norn ireland|nothern irish|n ireland|ulster occupied|norn iron|communications in northern ireland|northern irish|norlin airlann|nothern ireland,He was likely referring to the United Kingdom.,False
In which American state is the Isabella Stewart Gardner Museum?,tc_1069,mass|massachusites|taxachusetts|massachusetts state|bay state|commonwealth of masachusets|massachusite|transportation in massachusetts|massachusettes|masachussetts|massachsuetts|masshole commonwealth|massacheusetts|culture of massachusetts|massachusetts u s state|massachussets|commonwealth of massachussets|ma state|commonwealth of masachussetts|massachusetts culture|commonwealth of massachussetts|masachussets|massachusets|massachusettsan|education in massachusetts|massachus|us ma|state of massachusetts|economy of massachusetts|massachusetts united states|6th state|commonwealth of massachusetts|massechusetts|massachusetts|commonwealth of massachusets|massechussets|masschusetts|transport in massachusetts|most serene commonwealth of massachusetts|massachussetts|commonwealth of masachussets|masachusetts|religion in massachusetts|masachusets|sixth state|massitchusits|commonwealth of masachusetts,Massachusetts,True
On which island is Reina Sofia Airport?,sfq_893,tenerife|tenerife canary islands|tenerife spain|tenerife island|teneriffa|tenerif|tenarife|teneriff|ténérife,Reina Sofia Airport is on the Spanish island of Gran Canaria.,False
To ‘Defenestrate’ is to throw something or someone out of what?,qb_5063,window,A window. To defenestrate means to throw something or someone out of a window.,True
Which Australian won the men’s singles title at Wimbledon in 1956 and 1957?,wh_3938,lew hoad|lewis hoad,Rod Laver won the men's singles title at Wimbledon in 1956 and 1,False
What should you cross for good luck?,qw_8467,fingers|fingers film|finger disambiguation,You should cross your fingers for good luck.,True
In which state was Gene Vincent born?,tc_664,commonwealth of virginia|sports in virginia|va state|rest of virginia|va usa|virginia usa state|10th state|virginian commonwealth|us va|tenth state|viginia|commonwealth of va|mother of presidents|virginia|virginia united states|council of virginia|virginia usa|virgina|old dominion|state of virginia|religion in virginia|virginia state|virginia u s state,"Gene Vincent was born in Norfolk, Virginia.",True
what is chased down Cooper's Hill in Gloucestershire in a traditional race every Spring Bank Holiday?,wh_1123,lower hutt cbd|hutt city new zealand|lower hutt wellington|lower hutt|lower hutt new zealand|cheese|lower hutt city|hutt city|hutt city council,Cheese is rolled down Cooper's Hill.,True
Which vegetable is added to Lasagne to make 'Lasagne Verdi'?,odql_2123,eulithis mellinata|spinach|spinach moth,Spinach is added to Lasagne to make 'Lasagne Verdi'.,True
Who lived in the Lateran Palace from the fourth to the fourteenth centuries?,qw_6002,recent pope|timeline of papacy|popes by nationality|list of roman catholic popes|german pope|list of german popes|list of bishops of rome|list of popes|list of popes by nationality|syrian popes|list of roman catholic popes by nationality|list of vatican monarchs|african popes|popes|list of syrian popes|list of popes of rome|list of catholic popes,Popes resided in the Lateran Palace from the fourth to the fourteenth centuries.,True
"""What was the name of the dog in the children’s TV series """"The Herbs""""?""",odql_11337,shepu|anethum|dill seed|peucedanum anethum|dill weed|anethum graveolens|dillweed|anethum arvense|garden dill|angelica graveolens|pastinaca anethum|dill|selinum anethum|selinum graveolens|anethum sowa|ferula graveolens|peucedanum sowa|peucedanum graveolens|lao coriander,"I'm sorry, there seems to be a misunderstanding. The children's TV series you're referring to",False
"What noted English chemist and physicist, born on Sept 22, 1791, is responsible for the electromagnet and has the SI unit of capacitance named for him?",qg_3321,michael farraday|m faraday|faradayan|michael farady|faradic|michael faraday|micheal faraday|faraday death,Michael Faraday,True
Taphephobia is the abnormal fear of being what?,qb_3191,buried alive|living burial|texas funeral|texan funeral|london association for prevention of premature burial|be buried alive|burying alive|premature burial|vivisepulture|was buried alive|being buried alive|live burial|burial alive|premature interment,Taphephobia is the fear of being buried alive.,True
"In which country is the Moremi Game Reserve, a National Park, part of the Okavango Delta?",odql_8763,iso 3166 1 bw|lefatshe la botswana|khama s country|administrative divisions of botswana|republic of botswana|botswanan|botswana|botsuana|country bwa,Botswana,True
What is connected to the European mainland by a sand Isthmus called the North Front?,dpql_5301,list of cities in gibraltar|gibraltar|army of gibraltar|gibralter|wildlife of gibraltar|iso 3166 1 gi|gibraltar 300|jabal al tāriq|jabal tariq|name of gibraltar|weather in gibraltar|gibralta|gibraltar geography|gibraltor|gibraltar east|geography of gibraltar|cebelitarık|girbraltar|conscription in gibraltar|جبل طارق|gilbraltar|europe gibraltar|health in gibraltar|gibraltar military|capital of gibraltar|gibraltar transnational issues|protestantism in gibraltar|list of towns in gibraltar|fauna of gibraltar|jabal al tariq|gilbratar|gibraltar history|air force of gibraltar|gibilterra|gebel al tarik|gibraltar gibraltar|flora of gibraltar|military of gibraltar,Denmark (Jutland peninsula),False
